Compound no,nS,BCUTs-1l,NsssN,AATS2i,BCUTd-1h,MATS2i,EState_VSA5,PEOE_VSA3,ATSC2i,NddssS,VSA_EState1,SlogP_VSA2,Binary
1,0,1.403337651,0,151.7505589,3.246398978,-0.103239856,0,4.794537184,-14.40564974,0,0,15.99907155,0
2,0,1.349962688,0,147.8989232,3.308175081,-0.04194796,0,0,-5.42880963,0,0,11.52873493,0
3,0,0.298936565,0,149.4739102,4.043816742,0.041379974,12.13273414,8.417796984,4.451886604,1,27.91516282,25.5354705,0
4,0,0.297586712,1,155.9563594,4.048534669,0.006524284,43.76895296,12.80821203,1.010023906,1,45.35754043,41.93446255,0
6,0,1.429070755,0,153.1721798,3.139295468,-0.011362564,18.19910121,4.794537184,-0.865148715,0,10.12252763,18.06308135,0
7,0,1.350689701,0,143.9507786,3.30835666,-0.144184716,12.13273414,4.390415048,-23.50674568,0,13.31974689,4.983978521,0
8,0,0.301319828,0,149.3628802,4.044357782,0.041526831,0,0,9.741743241,1,35.06668567,30.82674715,0
9,0,1.21726433,0,151.556996,3.138707203,-0.0491916,0,9.778515705,-3.970261638,0,10.21745047,18.06308135,0
11,0,1.337520557,0,152.6731562,3.139180763,-0.198347692,18.19910121,4.794537184,-18.14718272,0,10.59615594,24.16704774,0
12,0,1.235474919,0,152.8629353,3.139605078,-0.250701066,12.48718869,4.794537184,-20.10042228,0,5.323287037,17.0572502,0
13,0,0.298904589,0,148.7025856,4.04519455,-0.010017699,0,8.417796984,-3.211927556,1,34.10967319,38.22301783,0
14,0,1.217260981,0,151.384009,3.139026739,-0.277211556,6.420821623,9.778515705,-24.11405039,0,5.396975309,17.0572502,0
16,1,0.295171763,2,153.9745067,4.04394878,-5.61E-04,12.13273414,13.48101471,-0.119851609,1,32.47749116,65.40538379,0
17,0,0.615312566,0,144.0470795,3.139212874,-0.325448368,11.33678588,9.778515705,-19.41431856,0,5.070447531,10.95328381,0
18,0,1.511976683,0,151.3368635,3.139789573,-0.239149768,30.52863127,4.794537184,-12.48128422,0,9.640480915,10.95328381,0
19,0,1.35068958,1,148.653058,3.308431726,0.077522868,0,0,11.42391545,0,0,19.07932249,0
21,0,0.28271046,0,149.0144403,4.043138573,-0.245145462,24.26546827,0,-23.12850497,0,28.9291236,25.09766405,0
22,0,1.217265471,0,147.631602,3.138608616,-0.206263547,0,9.778515705,-14.69826548,0,5.133734568,10.95328381,0
23,0,1.350757391,0,146.2413498,3.308414277,-0.043333081,11.12690298,0,-5.694847546,0,5.640497318,4.983978521,0
24,0,1.405613689,0,153.3225533,3.179464905,-0.167316735,18.19910121,13.57536728,-23.17180222,0,30.95286491,10.95328381,0
26,0,1.217261537,0,151.3530221,3.138594956,-0.222824386,0,9.778515705,-21.56157927,0,10.69489268,24.16704774,0
27,0,1.298627041,0,149.2690769,3.177498779,-0.142609588,18.19910121,4.794537184,-9.402534022,0,5.056435185,10.95328381,0
28,0,1.373008752,0,150.0920389,3.139169925,-0.162322742,18.19910121,4.794537184,-12.23006643,0,5.07792706,17.56016577,0
29,0,1.251081445,0,156.3801062,3.124565853,-0.137862278,0,5.480096598,-12.14417961,0,0,17.15627358,0
31,0,1.217261643,0,146.3958793,3.138887088,-0.233311885,0,9.778515705,-22.73875021,0,11.04665194,10.95328381,0
32,0,1.408117633,0,151.4502313,3.177498779,-0.159803419,30.33183534,9.184952232,-16.59438146,0,18.15837,10.95328381,0
33,0,0.297587064,1,151.1935483,4.048530766,0.065542759,0,13.89789358,7.718694388,1,26.7035623,36.42404296,0
34,0,0.954901456,0,153.9151116,3.178749489,0.014156006,36.39820241,19.15290927,2.37923918,0,29.55441907,32.85814918,0
36,0,0.301319676,0,149.8912656,4.044362279,0.018511892,18.19910121,4.390415048,5.121249835,1,48.90840954,30.82674715,0
37,0,1.42429859,0,153.3225533,3.139534967,-0.167316735,18.19910121,13.57536728,-23.17180222,0,30.63736946,10.95328381,0
38,0,1.351924146,0,158.9395195,3.309426577,-0.194465339,6.066367068,26.74661242,-45.14269306,0,69.87349411,10.95328381,0
39,0,1.46107645,0,156.0145047,3.139138014,-0.087612204,18.19910121,4.794537184,-5.639263952,0,4.908425926,17.56016577,0
41,0,1.429687209,0,149.5779092,3.139193712,-0.153977055,18.19910121,4.794537184,-10.39006545,0,5.060046296,10.95328381,0
42,0,1.043838601,0,148.7041868,3.139318967,-0.11485491,18.19910121,4.794537184,-7.62248971,0,6.014737996,10.95328381,0
43,0,1.428951021,0,150.8086161,3.13928226,-0.057990353,18.19910121,4.794537184,-4.369232903,0,5.0999178,10.95328381,0
44,0,1.483993899,0,155.6309114,3.139066848,-0.132506133,18.19910121,4.794537184,-7.00091913,0,4.740787037,17.56016577,0
46,0,1.400607394,0,155.1948754,3.197291573,-0.175719765,18.19910121,17.96578233,-30.12232775,0,43.63345327,10.95328381,0
47,0,1.304708132,0,149.2690769,3.13928226,-0.142609588,18.19910121,4.794537184,-9.402534022,0,5.0568339,10.95328381,0
48,0,1.294521044,0,156.8320113,3.139531935,-0.20773072,18.19910121,4.794537184,-11.53968637,0,4.882175926,17.0572502,0
49,0,1.304440234,0,149.2690769,3.139318967,-0.142609588,18.19910121,4.794537184,-9.402534022,0,5.056404321,10.95328381,0
51,0,1.33547304,0,156.1871287,3.139068454,-0.217587886,18.19910121,4.794537184,-15.32557363,0,4.976064815,17.56016577,0
52,0,0.298937263,0,151.2042944,4.043816728,-0.02646579,24.26546827,12.80821203,-3.876775459,1,39.7772302,25.5354705,0
53,0,0.298937263,0,151.2042944,4.043816742,-0.02646579,24.26546827,12.80821203,-3.876775459,1,40.08208248,25.5354705,0
54,0,1.169334559,0,163.0173451,4.030364597,0.275074948,12.26321064,9.778515705,68.05674894,0,45.60554075,33.94130855,0
56,0,0.298937431,0,153.5835856,4.043824428,-0.087903719,56.36957639,18.61998845,-14.70649645,1,31.75340535,35.58005125,0
57,0,1.228862712,0,153.7285713,3.139596602,-0.329058559,12.13273414,4.794537184,-20.55883136,0,5.118287037,17.0572502,0
58,2,0.301343396,1,149.6041622,4.042881898,-0.160735516,40.61116668,19.77983296,-20.10329435,1,32.45350277,40.57766285,0
59,0,1.386872763,0,153.3225533,3.229938501,-0.167316735,24.26546827,13.57536728,-23.17180222,0,31.29836037,10.95328381,0
61,0,1.361546386,0,148.339275,3.242411212,-0.137827816,5.563451492,4.983978521,-18.13024064,0,0,15.87513677,0
62,0,1.043335177,0,148.7041868,3.177498779,-0.11485491,18.19910121,4.794537184,-7.62248971,0,5.985282554,10.95328381,0
63,0,1.043829077,0,147.4280603,3.199713228,-0.18256196,5.563451492,4.983978521,-23.79805428,0,1.014374646,15.87513677,0
64,0,1.453203359,0,146.25328,3.198499266,-0.200426912,0,4.983978521,-21.50905648,0,0,15.87513677,0
66,0,0.298905004,0,150.735331,4.045199152,0.036032027,0,8.417796984,12.20808668,1,43.12275473,52.44261291,0
67,0,0.282710867,0,149.4335523,4.043138573,-0.265528063,24.26546827,0,-24.81107096,0,27.97898803,25.09766405,0
68,0,1.350689915,0,142.8874846,3.308309875,-0.167504721,0,0,-20.31447491,0,0,4.983978521,0
69,0,1.169251541,0,144.4732213,3.31735857,-0.082693567,18.19910121,0,-20.21143203,0,18.88246139,94.90981009,0
71,0,0.295173994,1,151.7039663,4.043830533,0.003310781,12.13273414,13.48101471,0.56375727,1,37.27388834,55.09079993,0
72,0,0.298905003,0,150.735331,4.045199211,0.036032027,7.109797541,8.417796984,12.20808668,1,43.31867945,52.44261291,0
73,0,0.298938584,0,151.5268289,4.043797513,0.10737367,29.74556487,18.61998845,10.69649032,1,33.51745224,26.07698614,0
74,0,0.296081755,0,145.3460888,4.04873169,-0.005838808,54.01103315,13.89789358,-0.703567015,1,42.92741521,30.3407488,0
76,0,1.15401445,0,151.1560995,3.30835771,-0.031205449,25.30889875,0,-4.011518252,0,21.6323585,80.16826355,0
77,0,1.211182643,0,155.8172473,3.21335944,-0.036155657,38.30095169,10.27463378,-5.219951265,0,5.286835239,31.22303157,0
78,0,1.427397733,0,151.4502313,3.139318967,-0.159803419,36.39820241,9.184952232,-16.59438146,0,17.82787455,10.95328381,0
79,0,1.217262013,0,145.0213656,3.145848533,-0.152226996,0,9.778515705,-14.60551708,0,5.324611835,10.95328381,0
81,0,0.295867466,0,153.5908715,4.123243721,0.265500399,11.76188495,4.722094864,66.09043153,1,65.93805254,26.94310476,0
82,0,0.298905934,0,149.856175,4.045195461,-0.042318151,36.39820241,17.19862708,-17.16204836,1,61.60624429,38.22301783,0
83,0,1.391761213,0,146.414597,3.253374229,-0.04878895,0,0,-6.970545567,0,0,15.87513677,0
84,0,0.626831175,1,149.0759343,3.179718619,-0.012102687,4.899909731,5.480096598,-1.307384015,0,0,33.04824863,0
86,0,0.298905007,0,150.735331,4.045200148,0.036032027,7.109797541,8.417796984,12.20808668,1,43.60853414,52.44261291,0
87,0,1.173373222,0,151.0168534,4.028908973,0.03832502,12.13273414,4.794537184,2.841931255,0,0,34.33629712,0
88,0,1.391201279,0,144.3788324,3.209386896,-0.004702272,24.26546827,9.589074368,-0.33329477,0,0,32.36472016,0
89,0,1.340272043,0,147.9008983,3.198360385,-0.198255264,5.563451492,4.983978521,-26.07902933,0,0,15.87513677,0
